name;addr
Stealey United Methodist Church;521 MILFORD St CLARKSBURG WV 26301
Slate United Methodist Church;US-33  / US-119  Spencer WV 25276
White Oak United Methodist Church;2418 Oxford Road Pullman WV 26421
St. Paul's United Methodist Church;106 Church St Ansted WV 25812
Zion United Methodist Church;WV-36 / Clay Road Spencer WV 25276
Duff Street United Methodist Church;400 Duff Avenue Clarksburg WV 26301
Oxford United Methodist Church;5707 Oxford Road Pullman WV 26421
Astor United Methodist Church;2415 East Veterans Memorial Highway Simpson WV 26435
Hurst Chapel United Methodist Church;6310 Salem Long Run Road Salem WV 26426
Smithville;38 Hope Hill Smithville WV 26178
Clarksburg First United Methodist Church;117 N 2nd St BUT USE 170 W. Pike Street ( Use for gps to rear parking lot) Clarksburg WV 26301
Mount Olive;51 MOORE ST SALEM WV 26426
Blandville United Methodist Church;4206 SR 18 West Union WV 26456
United Methodist Temple;665 Locust Avenue Clarksburg WV 26301
Salem United Methodist Church;260 East Main St. Salem WV 26426
Bristol UMC;109 Bristol Church Rd Salem WV 26426
Coplin;1866 Jarvisville Road Salem WV 26426
