,name,addr,city,state,lat,lon
475,Hazelgreen Baptist Church,Alsip,IL,60803,41.668922,-87.738662
476,Heartland Baptist Church,Ames,IA,50010,42.026757,-93.617045
477,Heartland Baptist Church,Antioch,IL,60002,42.476713,-88.095069
478,Heritage Baptist Church,Auburn Hills,MI,48326,42.687532,-83.234103
479,Heritage Baptist Church,Canal Winchester,OH,43110,39.842822,-82.805646
480,Heritage Baptist Church,Corpus Christi,TX,78413,27.688004,-97.399666
481,Heritage Baptist Church,Defiance,OH,43512,41.284493,-84.35578
482,Heritage Baptist Church,Flemington,NJ,08822,40.513095,-74.859133
483,Heritage Baptist Church,Florissant,MO,63033,38.792605,-90.291963
484,Heritage Baptist Church,Great Falls,MT,59405,47.497961,-111.265394
485,Heritage Baptist Church,Jeannette,PA,15644,40.328125,-79.61532
486,Heritage Baptist Church,Lawrence,KS,66049,38.970278,-95.283738
487,Heritage Baptist Church,Livingston,MT,59047,45.662436,-110.56104
488,Heritage Baptist Church,Mogadore,OH,44260,41.050775,-81.393946
489,Heritage Baptist Church,Norwood,MA,02062,42.194543,-71.199498
490,Heritage Baptist Church,Ocala,FL,34470,29.196786,-82.09699
491,Heritage Baptist Church,Palmyra,NY,14522,43.062375,-77.234725
492,Heritage Baptist Church,Pueblo,CO,81008,38.311266,-104.634207
493,Heritage Baptist Church,Roscoe,IL,61073,42.413351,-89.009274
494,Heritage Baptist Church,Skandia,MI,49885,46.377441,-87.241532
495,Heritage Baptist Church,Wallingford,CT,06492,41.457042,-72.823155
496,Heron Baptist Church,Heron,MT,59844,48.057699,-115.957288
497,High Street Baptist Church,Columbus,OH,43235,40.103303,-83.063237
498,High Plains Baptist Church,Clovis,NM,88101,34.405472,-103.205071
499,Hillcrest Baptist Church,Clermont,GA,30527,34.477875,-83.773515
500,Hillside Baptist Church,Hixson,TN,37343,35.155014,-85.22835
501,Hilltop Baptist Church,Hunker,PA,15639,40.204698,-79.615824
502,Hilltop Baptist Church,Johnstown,PA,15905,40.303601,-78.935138
503,Hillview Baptist Church,Dickson,TN,37055,36.076653,-87.38701
504,Holly Hills Baptist Church,Calvert City,KY,42029,37.03339,-88.350036
505,Open Door Baptist Church,Mesquite,TX,75149,32.76661,-96.599472
506,Hope Baptist Church,Minneapolis,MN,55417,44.90623,-93.238775
507,Hope Baptist Church,Toledo,OH,43615,41.643457,-83.67366
508,Hope Bible Baptist Church,Maple Rapids,MI,48853,43.104755,-84.691941
509,Hopewell Baptist Church,Napa,CA,94558,38.311815,-122.304938
510,Horace Baptist Church,Chrisman,IL,61924,39.803647,-87.673635
511,Hot Springs Baptist Temple,Hot Springs,AR,71901,34.496895,-93.042329
512,Iglesia Bautista El Faro,Pasadena,TX,77503,29.69473,-95.163301
513,Iglesia Bautista Esperanza,Lafayette,IN,47904,40.416702,-86.875287
514,Immanuel Baptist Church,Jacksonville,FL,32222,30.218455,-81.810304
515,Immanuel Baptist Church,Menomonie,WI,54751,44.875518,-91.919342
516,Immanuel Baptist Church,New Castle,IN,47362,39.928935,-85.370248
517,Independent Baptist Church,Bolingbrook,IL,60440,41.70033,-88.071771
518,Independent Baptist Church,,IN,47862,39.792816,-87.37085
519,Independent Baptist Church,Pleasantville,PA,16341,41.592283,-79.579494
520,Independent Bible Baptist Church,Paris,IL,61944,39.611146,-87.696137
