name,city,state,attend,denom,lat,lon
Geyer Springs First Baptist Church,Little Rock, AR,2500,SBC,34.746481,-92.289595
Downtown Church of Christ,Searcy, AR,2000,COC,35.250641,-91.736249
Brand New Church,Harrison, AR,3000,UNK,36.229794,-93.107677
Fellowship Bible Church,Little Rock, AR,4000,NONDENOM,34.746481,-92.289595
Saint Mark Baptist Church,Little Rock, AR,3000,UNK,34.746481,-92.289595
First Assembly of God,North Little Rock, AR,3270,AG,34.769536,-92.267094
Church at Rock Creek,Little Rock, AR,2000,NONDENOM,34.746481,-92.289595
New Life Church,Conway, AR,8205,UNK,35.088696,-92.442101
First Baptist Church,Jonesboro, AR,3000,SBC,35.842865,-90.703452
Harvest Time,Fort Smith, AR,2200,NONDENOM,35.387222,-94.424898
Mission Community Church,Gilbert, AZ,6195,UNK,33.352763,-111.789037
Casas Church,Tucson, AZ,2100,SBC,32.222877,-110.974848
The River of Life Church,Phoenix, AZ,3500,UNK,33.448437,-112.074142
Grace Community Church,Tempe, AZ,1800,NONDENOM,33.425506,-111.940009
Community Church of Joy,Glendale, AZ,2050,LUTH,33.538686,-112.185994
Church for the Nations,Phoenix, AZ,2400,NONDENOM,33.448437,-112.074142
Central Christian Church,Mesa, AZ,8786,CHRISTIAN,33.415112,-111.831479
Victory Assembly,Tucson, AZ,5000,AG,32.222877,-110.974848
North Scottsdale Christian,Scottsdale, AZ,1700,AG,33.494219,-111.926018
Sun Valley Community Church,Gilbert, AZ,5500,NONDENOM,33.352763,-111.789037
Chandler Christian Church,Chandler, AZ,2530,CHRISTIAN,33.306161,-111.84125
Palmcroft Baptist Church,Phoenix, AZ,2000,CBA,33.448437,-112.074142
Living Streams Church,Phoenix, AZ,2000,UNK,33.448437,-112.074142
North Phoenix Baptist Church,Phoenix, AZ,2350,SBC,33.448437,-112.074142
Christ's Church of the Valley,Peoria, AZ,23395,CHRISTIAN,33.580612,-112.237294
Radiant Church,Surprise, AZ,6359,AG,33.629227,-112.368019
Highlands Church,Scottsdale, AZ,3500,NONDENOM,33.494219,-111.926018
Love International Ministries,Phoenix, AZ,4200,NONDENOM,33.448437,-112.074142
Calvary Tucson,Tucson, AZ,5000,NONDENOM,32.222877,-110.974848
Pilgrim Rest Baptist Church,Phoenix, AZ,2200,BAPT,33.448437,-112.074142
Phoenix First Assembly of God,Phoenix, AZ,21000,AG,33.448437,-112.074142
Calvary Community Church,Phoenix, AZ,12000,CAL,33.448437,-112.074142
Palm Valley Community Church,Litchfield Park, AZ,2500,NONDENOM,33.49338,-112.358124
The Living Word Bible Church,Mesa, AZ,4427,UNK,33.415112,-111.831479
Christ Community Church,Tucson, AZ,2200,NONDENOM,32.222877,-110.974848
The Heights Church,Prescott, AZ,3000,CBA,34.539996,-112.468762
Cornerstone Christian Fellowship,Chandler, AZ,6000,NONDENOM,33.306161,-111.84125
Kingdom in the Valley Christian Church,Litchfield Park, AZ,3300,CHRISTIAN,33.49338,-112.358124
City of Grace,Mesa, AZ,4500,NONDENOM,33.415112,-111.831479
Scottsdale Bible Church,Scottsdale, AZ,6234,NONDENOM,33.494219,-111.926018
Pantano Christian Church,Tucson, AZ,2455,CHRISTIAN,32.222877,-110.974848
Redemption Church,Tempe, AZ,4500,NONDENOM,33.425506,-111.940009
Vineyard Christian Fellowship of North Phoenix,Glendale, AZ,4100,VINE,33.538686,-112.185994
Northwest Community Church,Phoenix, AZ,2500,NONDENOM,33.448437,-112.074142
Calvary Chapel of Prescott,Prescott, AZ,2000,CAL,34.539996,-112.468762
Faith Community Church,Tucson, AZ,2500,NONDENOM,32.222877,-110.974848
Spring of Life Christian Church,Mesa, AZ,2100,UNK,33.415112,-111.831479
La Casa de Cristo Lutheran Church,Scottsdale, AZ,2000,LUTH,33.494219,-111.926018
Trinity Baptist Church,Kelowna, BC,2200,ABC,49.887918,-119.495902
Willingdon Church,Burnaby, BC,5000,MEN,49.24338,-122.972546
Broadway Church,Vancouver, BC,2100,UNK,49.279862,-123.116838
Willow Park Church,Kelowna, BC,2000,MEN,49.887918,-119.495902
Northview Community Church,Abbotsford, BC,2700,MEN,49.052116,-122.329479
Bayside Church,Granite Bay, CA,11327,EC,38.763235,-121.163836
Crossroads Church,Grass Valley, CA,2500,UNK,39.219061,-121.06292
